Date,Year,Month,Day,P,E,Qcmecs,Qmm,Q_Missing,Julian,Season,Season_Year,Water_Year
01/01/1961,1961,1,1,2.5615,0.21809,NA,NA,Yes,1,W,1961,1961
02/01/1961,1961,1,2,6.1638,0.19237,NA,NA,Yes,2,W,1961,1961
03/01/1961,1961,1,3,0.2735,0.1638,NA,NA,Yes,3,W,1961,1961
04/01/1961,1961,1,4,0.86795,0.1671,NA,NA,Yes,4,W,1961,1961
05/01/1961,1961,1,5,4.5367,0.15706,NA,NA,Yes,5,W,1961,1961
06/01/1961,1961,1,6,0.15365,0.19442,NA,NA,Yes,6,W,1961,1961
07/01/1961,1961,1,7,5.5902,0.17094,NA,NA,Yes,7,W,1961,1961
08/01/1961,1961,1,8,0.99845,0.19838,NA,NA,Yes,8,W,1961,1961
09/01/1961,1961,1,9,6.9281,0.19631,NA,NA,Yes,9,W,1961,1961
10/01/1961,1961,1,10,0.11143,0.20241,NA,NA,Yes,10,W,1961,1961
11/01/1961,1961,1,11,1.3089,0.18185,NA,NA,Yes,11,W,1961,1961
12/01/1961,1961,1,12,3.4625,0.22858,NA,NA,Yes,12,W,1961,1961
13/01/1961,1961,1,13,0.05884,0.27732,NA,NA,Yes,13,W,1961,1961
14/01/1961,1961,1,14,0.027521,0.098241,NA,NA,Yes,14,W,1961,1961
15/01/1961,1961,1,15,0.16946,0.11195,NA,NA,Yes,15,W,1961,1961
16/01/1961,1961,1,16,0.27203,0.11535,NA,NA,Yes,16,W,1961,1961
17/01/1961,1961,1,17,1.457,0.25892,NA,NA,Yes,17,W,1961,1961
18/01/1961,1961,1,18,15.293,0.29425,NA,NA,Yes,18,W,1961,1961
19/01/1961,1961,1,19,0.73038,0.23259,NA,NA,Yes,19,W,1961,1961
20/01/1961,1961,1,20,27.794,0.24625,NA,NA,Yes,20,W,1961,1961
21/01/1961,1961,1,21,0.78734,0.29399,NA,NA,Yes,21,W,1961,1961
22/01/1961,1961,1,22,0.30392,0.3075,NA,NA,Yes,22,W,1961,1961
23/01/1961,1961,1,23,0.31021,0.27759,NA,NA,Yes,23,W,1961,1961
24/01/1961,1961,1,24,2.0623,0.27092,NA,NA,Yes,24,W,1961,1961
