P,P_lag1,Q_lag1
0.11168,1.6285,91.051
2.7512,0.11168,90.686
1.8307,2.7512,78.098
0.74479,1.8307,71.932
0.10747,0.74479,70.925
0.049367,0.10747,64.672
4.2932,0.049367,57.593
1.2466,4.2932,52.684
0.98922,1.2466,53.232
0.76795,0.98922,59.245
3.6538,0.76795,55.654
4.1832,3.6538,51.674
4.4365,4.1832,46.347
1.0512,4.4365,40.245
2.5323,1.0512,42.735
4.7762,2.5323,42.092
1.8622,4.7762,41.402
2.1219,1.8622,89.616
0.16007,2.1219,164.1
0.000204,0.16007,109.74
0.0,0.000204,88.091
0.00294,0.0,76.084
0.0019192,0.00294,66.295
0.0,0.0019192,59.42
0.0,0.0,55.214
0.0,0.0,51.476
0.0,0.0,47.247
0.0089016,0.0,44.629
0.0035933,0.0089016,41.975
0.11454,0.0035933,39.414
2.2115,0.11454,36.714
0.49976,2.2115,35.641
0.015557,0.49976,35.749
0.87583,0.015557,34.602
0.6236,0.87583,32.041
0.21392,0.6236,30.483
8.1428,0.21392,29.455
4.5575,8.1428,28.271
5.5997,4.5575,32.258
0.36276,5.5997,37.009
1.2069,0.36276,57.495
0.13303,1.2069,52.936
0.020743,0.13303,47.28
0.00196,0.020743,43.038
0.0040425,0.00196,39.564
0.0076358,0.0040425,36.722
0.41347,0.0076358,33.737
0.42401,0.41347,31.77
0.034463,0.42401,29.284
0.0,0.034463,27.816
0.0,0.0,26.43
0.04606,0.0,26.522
0.0,0.04606,25.392
0.0075541,0.0,25.035
6.9578,0.0075541,23.66
7.6115,6.9578,23.559
1.7314,7.6115,25.194
2.5548,1.7314,37.426
12.904,2.5548,35.615
0.17607,12.904,34.307
4.2488,0.17607,62.82
0.68893,4.2488,60.583
3.0916,0.68893,53.905
9.522,3.0916,52.114
3.0306,9.522,47.817
0.18567,3.0306,56.492
0.01029,0.18567,76.385
0.0,0.01029,64.901
0.0020008,0.0,55.88
0.0,0.0020008,49.607
1.2203,0.0,44.53
0.32528,1.2203,41.327
0.34116,0.32528,38.756
1.0507,0.34116,36.902
6.6695,1.0507,35.123
2.4986,6.6695,32.829
0.78804,2.4986,33.54
0.46011,0.78804,36.444
1.2215,0.46011,35.323
5.5076,1.2215,34.176
0.58179,5.5076,33.627
2.154,0.58179,33.06
3.652,2.154,34.966
12.995,3.652,35.132
3.3515,12.995,35.473
1.8405,3.3515,58.915
2.2612,1.8405,66.685
1.7658,2.2612,58.031
1.8678,1.7658,52.989
5.3089,1.8678,50.326
7.0361,5.3089,49.058
3.7607,7.0361,48.203
12.233,3.7607,60.688
1.332,12.233,68.884
1.5255,1.332,103.87
2.8731,1.5255,97.698
1.0082,2.8731,78.171
3.2416,1.0082,68.415
7.5088,3.2416,64.62
0.2548,7.5088,63.953
1.3435,0.2548,83.462
0.3022,1.3435,71.373
0.012168,0.3022,60.551
8.17e-05,0.012168,54.521
0.0,8.17e-05,49.629
0.08726,0.0,45.231
0.34884,0.08726,42.011
1.7829,0.34884,39.175
0.17015,1.7829,36.524
0.098408,0.17015,34.108
0.30269,0.098408,32.261
0.0041241,0.30269,30.932
0.0,0.0041241,29.59
0.0,0.0,27.907
0.0,0.0,26.976
0.000694,0.0,26.24
0.1345,0.000694,25.259
0.03528,0.1345,23.976
8.7673,0.03528,23.315
2.3849,8.7673,22.703
2.1916,2.3849,24.089
0.046386,2.1916,23.486
0.010862,0.046386,22.128
0.0,0.010862,20.289
0.0,0.0,18.525
0.0,0.0,18.263
0.0,0.0,18.495
0.000245,0.0,17.911
0.40127,0.000245,17.183
1.6535,0.40127,16.52
0.99261,1.6535,16.015
2.7505,0.99261,15.607
2.512,2.7505,15.64
0.20233,2.512,15.384
2.4579,0.20233,15.434
0.27783,2.4579,14.412
0.1285,0.27783,13.773
0.053328,0.1285,12.985
0.002205,0.053328,11.496
0.0015517,0.002205,12.825
1.3423,0.0015517,12.733
0.014496,1.3423,11.393
0.51903,0.014496,11.824
0.10314,0.51903,11.568
0.0,0.10314,11.231
0.16721,0.0,11.079
2.4218,0.16721,10.325
1.3571,2.4218,9.823
0.94169,1.3571,9.958
3.0816,0.94169,10.024
5.5785,3.0816,9.652
7.895,5.5785,9.448
10.213,7.895,10.167
4.9349,10.213,12.45
18.723,4.9349,16.672
4.8205,18.723,15.215
0.99469,4.8205,28.167
1.0406,0.99469,35.057
0.14577,1.0406,29.578
1.657,0.14577,23.504
6.8563,1.657,20.99
0.11564,6.8563,19.951
1.2568,0.11564,20.594
3.1429,1.2568,19.794
0.8835,3.1429,18.082
3.0401,0.8835,16.835
0.44287,3.0401,16.111
3.0112,0.44287,15.174
0.047734,3.0112,14.313
1.0327,0.047734,13.503
4.0262,1.0327,13.165
1.3366,4.0262,12.751
0.28412,1.3366,12.03
7.5849,0.28412,11.362
10.634,7.5849,11.653
4.7055,10.634,11.983
4.4775,4.7055,15.866
1.7256,4.4775,20.007
0.49057,1.7256,19.945
0.8608,0.49057,20.642
0.035851,0.8608,18.853
0.0,0.035851,16.736
0.0,0.0,15.258
0.0,0.0,14.719
0.0,0.0,14.012
0.0,0.0,12.112
0.0,0.0,11.132
0.11445,0.0,11.21
0.62368,0.11445,9.952
20.69,0.62368,9.708
0.28265,20.69,10.236
0.023152,0.28265,16.95
0.080523,0.023152,13.284
2.1347,0.080523,10.892
10.706,2.1347,9.438
5.3568,10.706,10.315
3.0461,5.3568,13.83
2.9216,3.0461,15.658
1.5071,2.9216,15.233
0.039486,1.5071,14.348
0.072764,0.039486,13.534
0.0,0.072764,12.02
0.013189,0.0,11.193
0.086933,0.013189,9.932
0.75051,0.086933,9.836
1.8563,0.75051,9.287
0.65455,1.8563,9.243
0.58506,0.65455,8.668
0.43471,0.58506,8.67
0.66027,0.43471,8.737
0.40764,0.66027,9.081
8.467,0.40764,9.176
0.26219,8.467,8.489
0.52368,0.26219,8.616
0.47121,0.52368,9.364
0.018947,0.47121,8.078
0.052389,0.018947,7.298
0.11368,0.052389,6.789
0.18248,0.11368,7.423
0.19922,0.18248,7.241
4.2332,0.19922,7.245
5.0893,4.2332,7.06
3.7687,5.0893,7.184
0.16938,3.7687,7.753
0.06962,0.16938,7.215
0.12666,0.06962,7.011
1.4105,0.12666,7.465
2.2808,1.4105,6.748
0.80241,2.2808,6.201
4.1127,0.80241,5.97
18.753,4.1127,5.798
1.1405,18.753,6.059
0.45365,1.1405,8.956
1.6778,0.45365,12.261
0.75427,1.6778,11.319
2.5209,0.75427,9.871
0.17015,2.5209,9.882
0.050143,0.17015,9.525
0.23197,0.050143,9.272
0.033524,0.23197,8.331
0.018375,0.033524,7.755
13.562,0.018375,7.376
0.0035933,13.562,6.727
2.8717,0.0035933,7.727
0.48236,2.8717,7.903
7.1802,0.48236,6.804
2.2223,7.1802,6.194
2.042,2.2223,5.981
0.93075,2.042,6.401
0.92381,0.93075,6.769
4.7548,0.92381,6.581
2.1442,4.7548,6.519
12.593,2.1442,6.614
0.78342,12.593,6.922
1.0704,0.78342,9.061
1.6374,1.0704,12.748
2.1944,1.6374,12.683
0.51102,2.1944,11.267
0.072805,0.51102,10.29
0.70465,0.072805,9.606
28.368,0.70465,9.032
7.2349,28.368,14.682
5.1065,7.2349,47.67
1.6506,5.1065,46.253
1.5836,1.6506,48.679
1.1699,1.5836,46.299
0.31339,1.1699,40.25
0.010453,0.31339,35.878
0.004655,0.010453,31.522
0.0044508,0.004655,27.963
0.0043283,0.0044508,24.815
0.35876,0.0043283,22.28
0.010167,0.35876,20.883
4.3027,0.010167,19.356
0.3508,4.3027,18.217
0.50135,0.3508,17.042
3.2343,0.50135,16.719
4.36,3.2343,16.643
4.8987,4.36,16.457
5.3615,4.8987,16.269
1.2192,5.3615,17.656
0.53773,1.2192,19.374
0.76942,0.53773,20.889
1.6226,0.76942,21.182
1.4313,1.6226,19.595
2.9269,1.4313,18.563
0.29788,2.9269,18.232
0.95039,0.29788,17.922
8.5032,0.95039,18.22
0.97227,8.5032,17.212
0.96488,0.97227,19.096
34.989,0.96488,23.664
14.144,34.989,22.619
0.065945,14.144,72.668
0.076521,0.065945,214.83
0.069947,0.076521,131.88
0.56252,0.069947,97.358
5.6243,0.56252,81.414
0.13748,5.6243,70.55
0.22295,0.13748,64.786
0.18297,0.22295,62.834
2.4304,0.18297,55.151
0.16529,2.4304,47.819
0.000204,0.16529,42.758
0.037689,0.000204,40.037
0.0013475,0.037689,36.426
0.0044916,0.0013475,33.254
0.0,0.0044916,31.4
0.031033,0.0,30.331
5.0365,0.031033,28.838
10.798,5.0365,27.137
3.8462,10.798,27.172
6.7395,3.8462,39.949
8.0826,6.7395,44.274
9.1342,8.0826,47.815
0.36051,9.1342,72.4
11.545,0.36051,105.57
4.1824,11.545,91.487
0.81944,4.1824,98.521
0.37746,0.81944,109.73
3.0534,0.37746,94.71
0.44724,3.0534,81.071
0.10808,0.44724,76.795
0.41082,0.10808,71.658
1.1666,0.41082,64.781
0.024214,1.1666,60.119
0.010657,0.024214,57.204
0.5196,0.010657,53.18
1.7113,0.5196,49.498
0.28734,1.7113,45.795
5.6224,0.28734,43.004
0.096529,5.6224,40.073
0.05047,0.096529,38.308
0.049245,0.05047,38.962
0.043487,0.049245,36.518
0.069784,0.043487,34.97
0.075214,0.069784,33.254
0.096203,0.075214,31.38
0.74096,0.096203,29.718
0.0086566,0.74096,28.158
0.0,0.0086566,27.12
0.000653,0.0,25.921
0.0046141,0.000653,24.956
1.2719,0.0046141,23.818
0.29036,1.2719,23.161
0.014087,0.29036,22.747
0.31315,0.014087,22.812
3.7878,0.31315,22.635
3.7802,3.7878,22.053
4.9157,3.7802,22.176
0.95892,4.9157,22.455
0.65476,0.95892,27.869
3.4597,0.65476,30.817
0.28991,3.4597,29.739
0.10163,0.28991,29.127
0.071866,0.10163,30.046
2.2173,0.071866,28.744
5.5647,2.2173,27.781
11.374,5.5647,26.935
2.1117,11.374,26.329
3.9668,2.1117,42.558
1.552,3.9668,69.781
7.9992,1.552,62.603
2.6119,7.9992,60.802
8.2549,2.6119,65.891
8.0432,8.2549,67.384
9.4383,8.0432,75.301
2.0653,9.4383,102.86
3.8281,2.0653,112.9
0.39004,3.8281,121.22
4.2575,0.39004,100.13
3.8656,4.2575,85.546
2.5444,3.8656,77.488
0.708,2.5444,83.185
2.4157,0.708,88.716
7.7457,2.4157,76.274
0.51205,7.7457,69.656
0.32907,0.51205,85.62
0.63704,0.32907,81.815
5.305,0.63704,69.599
0.34341,5.305,62.884
23.675,0.34341,63.402
2.0711,23.675,68.475
0.55125,2.0711,200.82
3.9507,0.55125,160.36
13.299,3.9507,112.85
9.0209,13.299,97.552
1.2114,9.0209,124.32
3.0192,1.2114,236.26
1.1666,3.0192,171.06
0.71576,1.1666,127.75
13.821,0.71576,109.7
1.3161,13.821,98.725
1.0563,1.3161,131.24
9.9474,1.0563,147.87
6.6782,9.9474,113.08
2.6977,6.6782,127.54
9.8282,2.6977,145.49
3.0599,9.8282,126.03
0.44059,3.0599,144.26
0.70425,0.44059,128.99
5.4058,0.70425,110.59
4.9634,5.4058,96.295
8.6706,4.9634,97.831
2.755,8.6706,98.933
0.93254,2.755,127.5
4.5159,0.93254,119.24
3.0138,4.5159,104.2
5.7116,3.0138,99.05
5.4566,5.7116,102.88
0.27877,5.4566,110.44
0.11837,0.27877,129.31
0.098979,0.11837,104.68
0.03724,0.098979,90.77
0.0055533,0.03724,80.764
0.0015925,0.0055533,72.894
0.18065,0.0015925,66.811
0.042344,0.18065,61.643
0.24924,0.042344,57.464
2.385,0.24924,53.417
0.73981,2.385,50.656
0.12552,0.73981,48.854
0.11968,0.12552,46.481
1.365,0.11968,43.716
0.017068,1.365,41.277
2.9365,0.017068,39.279
0.58028,2.9365,37.308
2.2965,0.58028,37.041
1.1487,2.2965,35.434
1.3793,1.1487,34.106
0.26586,1.3793,33.165
1.0655,0.26586,32.402
6.5706,1.0655,31.184
0.91788,6.5706,30.452
0.70163,0.91788,35.789
1.451,0.70163,33.989
10.85,1.451,32.276
13.255,10.85,30.908
7.2519,13.255,45.373
0.46292,7.2519,95.718
11.364,0.46292,121.84
7.6304,11.364,86.269
1.8218,7.6304,105.81
5.3931,1.8218,138.35
2.8419,5.3931,113.55
9.8722,2.8419,109.56
2.6866,9.8722,103.67
6.7287,2.6866,120.97
2.8833,6.7287,101.17
1.9357,2.8833,98.056
2.0892,1.9357,98.168
1.5473,2.0892,86.291
1.8965,1.5473,78.414
1.3262,1.8965,72.271
2.2488,1.3262,66.352
0.83716,2.2488,61.285
0.0086566,0.83716,56.936
0.0,0.0086566,53.74
0.0,0.0,48.911
0.0,0.0,44.933
0.0,0.0,42.27
0.0,0.0,39.67
0.023969,0.0,37.713
0.0,0.023969,36.222
0.00392,0.0,34.212
0.0,0.00392,32.461
0.0,0.0,30.751
0.000327,0.0,28.941
0.41254,0.000327,28.058
5.4249,0.41254,27.112
3.127,5.4249,26.349
4.1672,3.127,27.1
0.28371,4.1672,27.855
0.8639,0.28371,27.439
5.2502,0.8639,26.095
0.2655,5.2502,24.301
0.016578,0.2655,24.857
0.10216,0.016578,24.306
0.002695,0.10216,22.628
0.0,0.002695,21.869
0.97003,0.0,21.19
0.0092283,0.97003,20.437
0.000245,0.0092283,19.69
0.42393,0.000245,18.769
3.5446,0.42393,17.903
4.5379,3.5446,17.576
4.5863,4.5379,18.074
3.8359,4.5863,18.767
1.6477,3.8359,19.815
0.049326,1.6477,22.032
0.0097999,0.049326,23.309
0.17664,0.0097999,21.671
0.020457,0.17664,19.505
0.0,0.020457,18.257
0.0093508,0.0,18.102
0.25288,0.0093508,17.026
2.9657,0.25288,16.384
0.050592,2.9657,16.173
0.0,0.050592,15.395
0.0,0.0,14.359
0.0,0.0,13.47
0.0,0.0,12.662
3.0064,0.0,12.529
0.34181,3.0064,12.125
0.0,0.34181,11.244
0.0,0.0,10.894
0.47395,0.0,10.651
8.6461,0.47395,11.254
8.6322,8.6461,11.025
3.2506,8.6322,12.228
2.8635,3.2506,13.044
4.5975,2.8635,12.594
5.3027,4.5975,11.681
5.9987,5.3027,11.789
4.067,5.9987,12.879
2.4584,4.067,14.691
0.85231,2.4584,15.756
1.7442,0.85231,17.068
6.1536,1.7442,16.158
0.18285,6.1536,15.409
0.55484,0.18285,16.574
19.253,0.55484,16.654
1.0036,19.253,15.121
0.0092691,1.0036,24.119
0.0,0.0092691,29.317
0.0,0.0,24.688
0.0,0.0,21.08
0.0,0.0,18.878
0.0,0.0,16.791
0.0,0.0,15.021
0.0,0.0,14.065
0.0,0.0,13.181
0.0,0.0,12.736
0.0,0.0,11.997
0.29036,0.0,11.503
0.69432,0.29036,10.952
0.31764,0.69432,10.496
0.13148,0.31764,10.043
0.0,0.13148,9.913
0.0,0.0,9.659
6.3539,0.0,9.405
0.063699,6.3539,9.168
0.000408,0.063699,9.23
0.016987,0.000408,8.994
0.73863,0.016987,9.498
3.7419,0.73863,8.945
2.5651,3.7419,8.252
19.178,2.5651,8.113
0.89747,19.178,8.125
0.68428,0.89747,9.527
1.0552,0.68428,12.347
4.2948,1.0552,10.71
1.9523,4.2948,9.128
1.1837,1.9523,9.12
12.734,1.1837,8.985
2.0927,12.734,8.849
0.80306,2.0927,9.74
11.403,0.80306,11.455
1.5706,11.403,11.223
0.021151,1.5706,10.821
0.36889,0.021151,12.147
0.12462,0.36889,12.408
0.037648,0.12462,10.626
0.97795,0.037648,9.816
0.1247,0.97795,9.53
1.816,0.1247,8.907
1.1834,1.816,8.591
3.6119,1.1834,8.47
2.6219,3.6119,8.282
5.1294,2.6219,8.214
3.6315,5.1294,8.367
3.3909,3.6315,8.159
12.011,3.3909,8.007
4.6666,12.011,7.951
3.5537,4.6666,8.628
3.3077,3.5537,9.954
